rating,box_office,genre,director
R,15176515,Horror|Mystery and Suspense,Rob Schmidt
PG,466986,Drama,Hirokazu Koreeda
R,723714,Comedy|Drama,George Gallo
R,35966,Drama,Lynn Shelton
PG-13,303001229,Action and Adventure|Science Fiction and Fantasy,Peter Jackson
R,64209101,Comedy|Documentary,Jeff Tremaine
PG,252018,Drama,Paul Feig
PG,10127352,Drama|Faith and Spirituality,Alex Kendrick|Stephen Kendrick
PG-13,15655665,Comedy,Trent Cooper
PG-13,1569618,Documentary|Special Interest,Matt Tynauer|Matt Tyrnauer
R,18356529,Comedy|Drama,Glenn Ficarra|John Requa
PG-13,20467547,Horror,David Gelb
PG,8616662,Animation|Kids and Family|Science Fiction and Fantasy,Henry Selick|Tim Burton
PG,71844424,Documentary|Musical and Performing Arts,Kenny Ortega
R,44566004,Comedy|Drama|Romance,Sofia Coppola
R,3900000,Action and Adventure|Drama|Western,Andrew Dominik
PG-13,43800000,Comedy|Drama|Romance,Gary David Goldberg
NR,262586,Mystery and Suspense,Navdeep Singh
PG-13,118683135,Comedy|Drama|Romance,Peyton Reed
R,541457,Drama,Ewan McGregor
PG-13,9500000,Comedy,Douglas McGrath
G,18013938,Animation|Kids and Family,Frank Nissen
PG-13,67169549,Drama,Thomas Carter
R,3349167,Drama|Mystery and Suspense|Science Fiction and Fantasy,Marc Forster
NR,363,Documentary|Special Interest|Television,Erik Gandini
PG-13,11827301,Comedy|Romance,Daniel Taplitz
PG-13,793352,Comedy|Drama,Lawrence Kasdan
R,63595,Comedy,Jacob Aaron Estes
PG,16614132,Comedy|Kids and Family,Paul Feig
PG,146336178,Comedy,Steve Carr
R,3596939,Art House and International|Drama,Lisa Cholodenko
PG,190871149,Science Fiction and Fantasy,Robert Stromberg
PG,72601713,Animation|Comedy|Kids and Family,Steve Oedekerk
PG-13,6002708,Drama,Sacha Gervasi
PG-13,93008426,Comedy|Drama|Romance,Joe Roth
R,116638030,Drama,Curtis Hanson
PG-13,22838662,Drama,Tate Taylor
PG-13,320676,Comedy|Romance,Youssef Delara
PG-13,7156725,Comedy|Drama,Paul Weitz
PG,5617321,Comedy|Romance,Eleanor Coppola
PG-13,10279192,Comedy|Drama|Mystery and Suspense,Brian Robbins
PG,81110575,Action and Adventure|Comedy|Kids and Family,Brian Levant
PG,13432508,Action and Adventure|Comedy|Kids and Family,Uli Edel|Ulrich Edel
PG-13,15504419,Drama,Mike Binder
PG-13,109176215,Comedy,Peter Billingsley
R,148734225,Comedy|Romance,Judd Apatow
PG,66580191,Animation|Comedy|Kids and Family,Walt Becker
PG,1121000,Drama|Kids and Family|Faith and Spirituality,David Nixon|Patrick Doughtie
R,13985117,Drama|Horror,Trey Edward Shults
G,106604314,Action and Adventure|Animation|Comedy|Drama|Kids and Family,Peter Lord|Nick Park
R,13737564,Comedy|Drama,Miguel Arteta
PG-13,73058679,Action and Adventure|Horror|Kids and Family|Science Fiction and Fantasy,Andrew Stanton|Mark Atkins
PG,261835892,Kids and Family|Science Fiction and Fantasy,Chris Columbus
PG-13,164454835,Comedy,Jay Roach
R,29885424,Comedy,Kevin Smith
PG,19548064,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,David Bowers
R,2021399,Drama,Jocelyn Moorhouse
NR,109257,Art House and International|Drama|Mystery and Suspense|Romance,Louis Malle
G,13592311,Animation|Kids and Family|Science Fiction and Fantasy,Ben Stassen
PG-13,586242,Comedy,Michael Salomon|Mikael Salomon
R,102515793,Drama|Mystery and Suspense,David Fincher
PG-13,57000000,Drama|Romance,Rob Marshall
PG,13155823,Comedy,Fred Savage
R,119000000,Action and Adventure|Drama|Mystery and Suspense|Science Fiction and Fantasy,Paul Verhoeven
PG,37442180,Comedy|Television,Barry Levinson
PG-13,20218921,Drama|Musical and Performing Arts,Shana Feste
PG-13,27696504,Comedy,Steven Soderbergh
PG-13,299300000,Action and Adventure|Mystery and Suspense,Sam Mendes
PG-13,14244145,Comedy,Donald Petrie
R,5851913,Art House and International|Comedy|Romance,Dan Mazer
PG-13,127083765,Action and Adventure|Drama|Mystery and Suspense,John Singleton
R,39418953,Horror|Mystery and Suspense,Jonathan Liebesman
PG-13,31670931,Drama|Musical and Performing Arts,Joe Wright
G,2027042,Kids and Family|Musical and Performing Arts,Britt Allcroft
NR,4683159,Comedy|Drama,Oliver Parker
R,33408732,Comedy,Edgar Wright
PG-13,1149350,Comedy,Nicholas Jasenovec
NC17,1260219,Comedy,John Waters
R,3400000,Comedy,Maggie Carey
PG-13,177575142,Comedy|Romance,Andrew Tennant|Andy Tennant
PG-13,53100000,Action and Adventure|Drama|Mystery and Suspense,Christopher Nolan
NR,463914,Art House and International|Drama|Romance,Haim Tabakman
PG-13,214813155,Action and Adventure|Science Fiction and Fantasy,Bryan Singer
PG,123188232,Action and Adventure|Animation|Kids and Family,Gore Verbinski
PG,4894004,Drama|Musical and Performing Arts|Faith and Spirituality,Kasi Lemmons
R,241672,Art House and International|Drama,Gus Van Sant
PG-13,1626909,Art House and International|Drama|Mystery and Suspense|Romance,Julian Jarrold
PG-13,10928042,Action and Adventure|Art House and International|Drama,Yimou Zhang
NR,8856,Art House and International|Drama,Jeanne Labrune
PG-13,33200000,Action and Adventure|Drama|Western,Lawrence Kasdan
R,26973524,Drama|Mystery and Suspense,David Mackenzie
R,11348612,Drama,Alexander Payne
NR,1526248,Action and Adventure,Dante Lam
R,13630226,Action and Adventure|Comedy,Mark Neveldine|Brian Taylor
